component 1,component 2,class
3.3158164,10.204698,GALAXY
2.3796623,13.190008,GALAXY
11.678057,3.559616,GALAXY
12.111143,3.726232,GALAXY
0.004248358,4.5385303,GALAXY
-2.0265336,3.21704,GALAXY
4.334049,0.8450513,GALAXY
14.927374,5.324009,QSO
10.453142,10.291735,STAR
7.8419814,8.100819,QSO
0.72070915,0.27362433,QSO
7.2398796,14.821537,QSO
15.626967,2.560984,GALAXY
8.9204645,5.72578,QSO
12.252751,1.2387257,QSO
-0.52001375,3.0718017,GALAXY
3.8641517,-3.763408,GALAXY
-2.2229729,2.8942242,STAR
-0.16336372,3.5935779,GALAXY
1.6114242,-3.456304,QSO
9.847844,2.2318118,STAR
8.683153,-5.3655806,GALAXY
9.997157,10.227403,STAR
0.10510389,-3.5802937,GALAXY
0.7968512,10.634008,GALAXY
8.772006,-1.2029945,STAR
0.9123245,5.4728866,GALAXY
-2.219449,4.700787,GALAXY
2.3685863,15.974763,STAR
13.736875,11.523983,QSO
3.865576,-3.7143664,GALAXY
3.0700598,4.890395,GALAXY
0.086756594,5.078411,GALAXY
-5.539666,-0.6636926,STAR
11.399469,10.406108,STAR
8.843872,-0.7849029,STAR
4.2644563,5.833908,GALAXY
7.59016,-0.72448134,STAR
4.497407,-3.6028671,GALAXY
5.3616533,15.298099,GALAXY
0.78850096,13.01825,STAR
-2.151682,1.2757987,GALAXY
11.22056,14.735631,QSO
11.031251,3.4983811,QSO
-8.120272,4.776139,STAR
1.7690953,1.9621053,GALAXY
7.742961,-4.7221847,GALAXY
-7.211727,3.9915347,STAR
14.585515,2.6466439,GALAXY
-3.420301,1.0315232,GALAXY
-7.8062334,4.3902593,QSO
0.32244906,11.279334,GALAXY
4.4443173,7.1978474,STAR
2.243314,13.549075,GALAXY
13.496509,1.3319765,QSO
-3.2854946,10.35782,GALAXY
1.2638535,2.693886,GALAXY
-6.7160316,5.8090415,GALAXY
10.191142,4.7239113,QSO
4.7550955,3.1783032,GALAXY
-5.48656,4.049194,GALAXY
2.0874124,-3.164587,GALAXY
0.42359263,-2.3085992,STAR
0.25067616,4.0350513,GALAXY
1.5279309,3.6923964,GALAXY
4.6288457,-0.41073754,GALAXY
10.741216,10.486185,STAR
-2.4512076,8.696551,GALAXY
-0.06477465,2.5952482,GALAXY
10.7040205,3.161298,QSO
11.549429,12.835454,QSO
13.542265,10.919666,QSO
4.182908,1.6732942,QSO
10.953409,15.718606,STAR
7.01536,1.9994514,STAR
0.69446087,2.6842632,GALAXY
-2.8781133,9.855308,GALAXY
-5.436581,2.2695312,GALAXY
-4.5043635,2.2663662,GALAXY
14.086984,11.737152,STAR
2.857436,10.7294235,GALAXY
11.892534,5.2553,GALAXY
3.0124545,-1.415968,GALAXY
9.843521,15.831537,STAR
-2.3377526,3.4758542,QSO
6.76899,-2.0397272,GALAXY
5.501511,1.5958923,STAR
13.656526,9.302331,QSO
13.307665,5.6044993,GALAXY
5.372433,-2.4375765,STAR
13.261648,10.073652,QSO
1.6192542,-4.176265,GALAXY
7.3140187,6.0532455,QSO
-4.1917853,9.316681,GALAXY
10.729178,7.1333447,GALAXY
-0.107508615,0.5876335,STAR
11.901202,12.192664,QSO
2.0700936,-3.7995892,QSO
7.3323593,7.7301793,QSO
6.6459813,4.24597,GALAXY
-1.6088885,-4.0593896,STAR
-0.90070564,8.2532015,GALAXY
-0.7362465,11.350252,STAR
-7.3008485,2.456746,GALAXY
0.8373113,2.6300483,GALAXY
2.325798,1.8558311,GALAXY
3.7869706,14.129867,GALAXY
13.428203,13.27519,STAR
9.772416,4.674706,GALAXY
-3.558794,5.5192475,GALAXY
7.64396,0.72622067,STAR
2.0580478,0.3510471,GALAXY
12.928878,1.6760323,GALAXY
5.140162,-4.702345,STAR
1.3495672,0.6611137,GALAXY
-0.7310666,11.831159,GALAXY
13.192904,3.2658246,QSO
0.6994141,11.278683,GALAXY
0.16593768,13.538181,GALAXY
