component 1,component 2,component 3,class
1.0466418,-0.7715735,8.601497,GALAXY
11.789636,7.184707,0.66373557,GALAXY
5.8242764,2.7522562,4.4559984,GALAXY
6.0442863,2.0165706,3.347447,GALAXY
3.9364772,0.16881475,6.8019924,GALAXY
5.012898,0.19723265,1.4356365,GALAXY
11.102351,8.864559,5.422092,GALAXY
7.851582,10.369325,3.9632263,QSO
3.9847586,5.601805,9.414742,STAR
7.940002,4.5586348,8.033666,QSO
6.335674,7.4215865,4.1761413,QSO
1.932114,6.3246355,9.340563,QSO
3.071894,6.2851863,0.5903107,GALAXY
8.726262,2.4429128,6.441422,QSO
4.019649,2.737656,4.8789124,QSO
3.7824848,-0.609704,5.7712784,GALAXY
0.9064699,-0.8072415,4.567089,GALAXY
3.565687,-1.7878397,4.227341,STAR
3.7344933,0.935517,2.5550683,GALAXY
5.782321,12.525081,3.8433542,QSO
6.685568,0.49238294,5.6098514,STAR
6.190612,14.209997,8.373934,GALAXY
4.260616,5.4489946,9.4731,STAR
7.2408323,9.146415,-0.10271772,GALAXY
5.0064287,2.1613135,10.09742,GALAXY
1.1052972,3.3577733,-2.0635588,STAR
3.6465266,2.4909165,1.3593599,GALAXY
5.290623,1.3379947,0.36571506,GALAXY
12.141938,5.3868074,3.0810435,STAR
2.8292277,10.442845,9.829365,QSO
1.0757415,-0.6253537,4.0586114,GALAXY
0.4890081,2.4221592,3.5436943,GALAXY
4.610512,-0.20760068,7.2195573,GALAXY
7.7681665,9.95966,6.5973277,STAR
3.7948923,6.578027,9.659802,STAR
1.5035877,4.386419,-2.5855227,STAR
-0.35198414,3.7828758,2.9285803,GALAXY
0.35450593,3.857515,-1.2086099,STAR
1.0477947,-0.31526542,2.8835514,GALAXY
1.9587363,5.669686,9.335175,GALAXY
10.48055,4.7564144,4.63907,STAR
4.9701424,-0.8000983,2.7269,GALAXY
2.1141863,10.598616,6.844207,QSO
6.8888006,1.5892341,4.3855762,QSO
5.195463,1.0763844,12.018663,STAR
4.752997,5.297089,5.389059,GALAXY
3.0535715,6.850809,-3.1602361,GALAXY
4.199764,2.1772494,11.841691,STAR
1.8666043,6.188999,1.3540372,GALAXY
5.393847,-1.6397178,1.8921887,GALAXY
4.874234,1.5071228,12.044202,QSO
4.9725857,2.6911259,10.447658,GALAXY
0.9794174,5.2635036,1.778951,STAR
11.186444,7.5738597,4.1080403,GALAXY
3.2256563,4.837319,3.563383,QSO
9.462656,8.812688,1.8808502,GALAXY
2.5708447,1.279297,5.640571,GALAXY
2.057948,-0.50517815,6.1349163,GALAXY
7.4287295,2.4649076,5.1737123,QSO
1.9292868,4.5712175,4.6863875,GALAXY
2.54409,-3.4208038,2.654796,GALAXY
5.5251136,12.384036,4.2179832,GALAXY
3.451918,12.185566,4.1947083,STAR
4.183471,0.5667427,6.842774,GALAXY
1.9142548,1.2833005,4.1315627,GALAXY
10.403057,10.230224,7.437363,GALAXY
3.5800536,5.5995913,9.022028,STAR
