component 1,component 2,component 3,component 4,component 5,class
6.1643653,9.3483,6.014678,7.1003246,4.9013295,GALAXY
2.5871,7.9119844,5.8351827,1.7886963,4.3843584,GALAXY
2.4304695,2.0185122,2.341014,7.4221907,5.011087,GALAXY
1.7174742,1.3717337,2.4132948,6.8260922,5.3977184,GALAXY
3.1411557,7.0357738,7.241648,5.724277,7.4374557,GALAXY
6.0465155,4.3472404,5.1099644,2.170247,10.473435,GALAXY
4.56716,10.605088,5.025549,3.8767037,4.2729135,GALAXY
5.563267,6.987604,2.2755306,0.3241984,3.5711992,QSO
8.201083,1.5872443,3.0687556,7.607555,3.2616577,STAR
6.594936,1.892477,1.0556382,8.311049,1.8699614,QSO
0.17894307,5.2921314,7.526669,5.1867833,6.235437,QSO
6.2920957,4.6039696,4.687085,4.3922863,4.379399,QSO
6.1787796,2.4310472,2.9498973,6.4183683,9.953825,GALAXY
4.4914994,0.91764414,1.1013324,7.4072957,2.1867723,QSO
1.8153962,3.023758,1.3977216,8.225669,6.36176,QSO
3.792599,6.8105145,7.383859,4.937504,9.075633,GALAXY
8.5522375,5.6912193,2.3703756,2.5582566,3.1782677,GALAXY
5.279241,7.002294,6.4187164,4.1107845,9.03529,STAR
5.4438157,3.8215218,6.1307783,3.2037904,11.015511,GALAXY
5.9453917,6.7418594,5.152007,-0.16257608,1.9468609,QSO
2.1146088,1.6352265,0.28475004,7.6235538,4.0572357,STAR
4.988929,6.2831244,9.852651,7.0920343,3.2518058,GALAXY
8.206216,1.5146414,2.9194498,7.8650875,3.284793,STAR
1.7683768,7.728603,5.8849697,4.436751,3.5071158,GALAXY
3.491783,8.591747,7.0199513,7.2248006,2.620365,GALAXY
6.5615544,4.6652694,5.6608295,4.854992,1.1257255,STAR
5.9689655,2.4559348,4.911124,3.6487207,11.12491,GALAXY
6.5751166,3.6987684,3.8968577,2.4276252,10.071192,GALAXY
3.1295738,6.1015296,7.9642015,3.271387,2.6312256,STAR
